scan,mu,noise,targetEntropy,config_path,output_dir
phase,0.03,0.13,0.3,/Users/veronique/BASE/Code/Repo/iram-omega-q/analysis/paper3/config/robustness/phase/phase_mu0p030_eta0p130.properties,/Users/veronique/BASE/Code/Repo/iram-omega-q/analysis/results/paper3/robustness/phase_runs/phase_mu0p030_eta0p130
phase,0.03,0.15,0.3,/Users/veronique/BASE/Code/Repo/iram-omega-q/analysis/paper3/config/robustness/phase/phase_mu0p030_eta0p150.properties,/Users/veronique/BASE/Code/Repo/iram-omega-q/analysis/results/paper3/robustness/phase_runs/phase_mu0p030_eta0p150
phase,0.03,0.17,0.3,/Users/veronique/BASE/Code/Repo/iram-omega-q/analysis/paper3/config/robustness/phase/phase_mu0p030_eta0p170.properties,/Users/veronique/BASE/Code/Repo/iram-omega-q/analysis/results/paper3/robustness/phase_runs/phase_mu0p030_eta0p170
phase,0.03,0.19,0.3,/Users/veronique/BASE/Code/Repo/iram-omega-q/analysis/paper3/config/robustness/phase/phase_mu0p030_eta0p190.properties,/Users/veronique/BASE/Code/Repo/iram-omega-q/analysis/results/paper3/robustness/phase_runs/phase_mu0p030_eta0p190
phase,0.03,0.21,0.3,/Users/veronique/BASE/Code/Repo/iram-omega-q/analysis/paper3/config/robustness/phase/phase_mu0p030_eta0p210.properties,/Users/veronique/BASE/Code/Repo/iram-omega-q/analysis/results/paper3/robustness/phase_runs/phase_mu0p030_eta0p210
phase,0.04,0.13,0.3,/Users/veronique/BASE/Code/Repo/iram-omega-q/analysis/paper3/config/robustness/phase/phase_mu0p040_eta0p130.properties,/Users/veronique/BASE/Code/Repo/iram-omega-q/analysis/results/paper3/robustness/phase_runs/phase_mu0p040_eta0p130
phase,0.04,0.15,0.3,/Users/veronique/BASE/Code/Repo/iram-omega-q/analysis/paper3/config/robustness/phase/phase_mu0p040_eta0p150.properties,/Users/veronique/BASE/Code/Repo/iram-omega-q/analysis/results/paper3/robustness/phase_runs/phase_mu0p040_eta0p150
phase,0.04,0.17,0.3,/Users/veronique/BASE/Code/Repo/iram-omega-q/analysis/paper3/config/robustness/phase/phase_mu0p040_eta0p170.properties,/Users/veronique/BASE/Code/Repo/iram-omega-q/analysis/results/paper3/robustness/phase_runs/phase_mu0p040_eta0p170
phase,0.04,0.19,0.3,/Users/veronique/BASE/Code/Repo/iram-omega-q/analysis/paper3/config/robustness/phase/phase_mu0p040_eta0p190.properties,/Users/veronique/BASE/Code/Repo/iram-omega-q/analysis/results/paper3/robustness/phase_runs/phase_mu0p040_eta0p190
phase,0.04,0.21,0.3,/Users/veronique/BASE/Code/Repo/iram-omega-q/analysis/paper3/config/robustness/phase/phase_mu0p040_eta0p210.properties,/Users/veronique/BASE/Code/Repo/iram-omega-q/analysis/results/paper3/robustness/phase_runs/phase_mu0p040_eta0p210
phase,0.05,0.13,0.3,/Users/veronique/BASE/Code/Repo/iram-omega-q/analysis/paper3/config/robustness/phase/phase_mu0p050_eta0p130.properties,/Users/veronique/BASE/Code/Repo/iram-omega-q/analysis/results/paper3/robustness/phase_runs/phase_mu0p050_eta0p130
phase,0.05,0.15,0.3,/Users/veronique/BASE/Code/Repo/iram-omega-q/analysis/paper3/config/robustness/phase/phase_mu0p050_eta0p150.properties,/Users/veronique/BASE/Code/Repo/iram-omega-q/analysis/results/paper3/robustness/phase_runs/phase_mu0p050_eta0p150
phase,0.05,0.17,0.3,/Users/veronique/BASE/Code/Repo/iram-omega-q/analysis/paper3/config/robustness/phase/phase_mu0p050_eta0p170.properties,/Users/veronique/BASE/Code/Repo/iram-omega-q/analysis/results/paper3/robustness/phase_runs/phase_mu0p050_eta0p170
phase,0.05,0.19,0.3,/Users/veronique/BASE/Code/Repo/iram-omega-q/analysis/paper3/config/robustness/phase/phase_mu0p050_eta0p190.properties,/Users/veronique/BASE/Code/Repo/iram-omega-q/analysis/results/paper3/robustness/phase_runs/phase_mu0p050_eta0p190
phase,0.05,0.21,0.3,/Users/veronique/BASE/Code/Repo/iram-omega-q/analysis/paper3/config/robustness/phase/phase_mu0p050_eta0p210.properties,/Users/veronique/BASE/Code/Repo/iram-omega-q/analysis/results/paper3/robustness/phase_runs/phase_mu0p050_eta0p210
phase,0.06,0.13,0.3,/Users/veronique/BASE/Code/Repo/iram-omega-q/analysis/paper3/config/robustness/phase/phase_mu0p060_eta0p130.properties,/Users/veronique/BASE/Code/Repo/iram-omega-q/analysis/results/paper3/robustness/phase_runs/phase_mu0p060_eta0p130
phase,0.06,0.15,0.3,/Users/veronique/BASE/Code/Repo/iram-omega-q/analysis/paper3/config/robustness/phase/phase_mu0p060_eta0p150.properties,/Users/veronique/BASE/Code/Repo/iram-omega-q/analysis/results/paper3/robustness/phase_runs/phase_mu0p060_eta0p150
phase,0.06,0.17,0.3,/Users/veronique/BASE/Code/Repo/iram-omega-q/analysis/paper3/config/robustness/phase/phase_mu0p060_eta0p170.properties,/Users/veronique/BASE/Code/Repo/iram-omega-q/analysis/results/paper3/robustness/phase_runs/phase_mu0p060_eta0p170
phase,0.06,0.19,0.3,/Users/veronique/BASE/Code/Repo/iram-omega-q/analysis/paper3/config/robustness/phase/phase_mu0p060_eta0p190.properties,/Users/veronique/BASE/Code/Repo/iram-omega-q/analysis/results/paper3/robustness/phase_runs/phase_mu0p060_eta0p190
phase,0.06,0.21,0.3,/Users/veronique/BASE/Code/Repo/iram-omega-q/analysis/paper3/config/robustness/phase/phase_mu0p060_eta0p210.properties,/Users/veronique/BASE/Code/Repo/iram-omega-q/analysis/results/paper3/robustness/phase_runs/phase_mu0p060_eta0p210
phase,0.07,0.13,0.3,/Users/veronique/BASE/Code/Repo/iram-omega-q/analysis/paper3/config/robustness/phase/phase_mu0p070_eta0p130.properties,/Users/veronique/BASE/Code/Repo/iram-omega-q/analysis/results/paper3/robustness/phase_runs/phase_mu0p070_eta0p130
phase,0.07,0.15,0.3,/Users/veronique/BASE/Code/Repo/iram-omega-q/analysis/paper3/config/robustness/phase/phase_mu0p070_eta0p150.properties,/Users/veronique/BASE/Code/Repo/iram-omega-q/analysis/results/paper3/robustness/phase_runs/phase_mu0p070_eta0p150
phase,0.07,0.17,0.3,/Users/veronique/BASE/Code/Repo/iram-omega-q/analysis/paper3/config/robustness/phase/phase_mu0p070_eta0p170.properties,/Users/veronique/BASE/Code/Repo/iram-omega-q/analysis/results/paper3/robustness/phase_runs/phase_mu0p070_eta0p170
phase,0.07,0.19,0.3,/Users/veronique/BASE/Code/Repo/iram-omega-q/analysis/paper3/config/robustness/phase/phase_mu0p070_eta0p190.properties,/Users/veronique/BASE/Code/Repo/iram-omega-q/analysis/results/paper3/robustness/phase_runs/phase_mu0p070_eta0p190
phase,0.07,0.21,0.3,/Users/veronique/BASE/Code/Repo/iram-omega-q/analysis/paper3/config/robustness/phase/phase_mu0p070_eta0p210.properties,/Users/veronique/BASE/Code/Repo/iram-omega-q/analysis/results/paper3/robustness/phase_runs/phase_mu0p070_eta0p210
